ID	Length	SRR7537192_sorted
ENSG00000207752.1	34999	4995.0
ENSG00000177156.11	9499	1605.5
ENSG00000171790.15	35999	3907.0
ENSG00000265490.1	4999	124.0
ENSG00000258985.1	9999	342.0
ENSG00000270082.1	4999	423.0
ENSG00000261759.1	6499	1623.5
ENSG00000262456.1	5999	178.5
ENSG00000135945.10	8999	1430.0
ENSG00000254960.2	4499	50.5
ENSG00000266318.1	8999	326.0
ENSG00000163382.12	7499	1738.0
ENSG00000100979.15	4999	1987.0
ENSG00000204634.12	4999	9112.5
ENSG00000143994.14	3999	972.5
ENSG00000280055.1	16499	389.0
ENSG00000133392.18	9999	567.5
ENSG00000198208.11	21999	1198.5
ENSG00000251369.8	4499	45.5
ENSG00000207020.1	28999	1738.5
ENSG00000114416.18	6999	634.5
ENSG00000016864.18	8499	5349.0
ENSG00000199700.1	8499	109.5
ENSG00000271889.1	5999	83.5
ENSG00000257218.6	4999	1204.5
ENSG00000226756.1	7499	228.0
ENSG00000106290.15	5499	288.5
ENSG00000260570.1	6499	522.0
ENSG00000230424.1	4499	501.0
ENSG00000279390.1	13499	1562.0
ENSG00000008256.16	12499	458.5
ENSG00000124098.10	23499	3164.0
ENSG00000115486.12	5999	5904.0
ENSG00000250748.6	9499	1677.0
ENSG00000074582.14	6999	471.0
ENSG00000157916.20	7499	463.5
ENSG00000176358.15	10999	656.0
ENSG00000149657.20	7999	5563.5
ENSG00000171160.18	5999	270.5
ENSG00000008710.19	7499	384.0
ENSG00000237015.1	5499	346.5
ENSG00000087152.15	4999	589.5
ENSG00000230613.1	35999	3715.0
ENSG00000279386.1	5499	994.5
ENSG00000199732.1	5499	819.0
ENSG00000279716.1	10499	577.0
ENSG00000160973.7	7499	676.0
ENSG00000129673.9	14999	1259.5
ENSG00000183718.5	5999	162.5
ENSG00000145041.15	4499	1779.5
ENSG00000250267.2	5999	257.0
ENSG00000147127.8	4999	727.5
ENSG00000151715.7	6499	230.0
ENSG00000182578.13	26999	2051.0
ENSG00000147684.9	7499	181.5
ENSG00000128564.7	7499	1784.0
ENSG00000112706.12	16499	866.0
ENSG00000125779.22	4499	234.5
ENSG00000271969.1	5499	5033.5
ENSG00000202379.1	14999	1780.5
ENSG00000261872.1	3999	179.5
ENSG00000228368.1	11499	218.5
ENSG00000112237.13	11999	347.5
ENSG00000248925.1	7499	177.5
ENSG00000167468.16	17499	1721.0
ENSG00000197451.12	5999	92.5
ENSG00000119681.12	3999	247.5
ENSG00000137310.12	19499	1802.0
ENSG00000139679.15	13499	541.5
ENSG00000100445.17	9999	782.5
ENSG00000236545.1	6499	106.5
ENSG00000280233.1	18999	17456.5
ENSG00000257913.2	10499	334.0
ENSG00000105996.7	3999	957.0
ENSG00000207202.1	7499	141.5
ENSG00000197860.10	5499	168.5
ENSG00000224855.5	4499	642.0
ENSG00000269968.1	3999	32506.5
ENSG00000177728.17	7999	252.5
ENSG00000279345.1	5999	66.5
ENSG00000125970.12	3999	253.5
ENSG00000260425.1	6999	260.5
ENSG00000079134.12	4999	1086.5
ENSG00000028116.17	27499	1050.0
ENSG00000166813.15	13499	429.5
ENSG00000233589.1	6999	991.5
ENSG00000234055.1	4499	283.5
ENSG00000112293.15	14499	1094.0
ENSG00000167695.15	9499	803.5
ENSG00000285879.1	6999	90.5
ENSG00000286588.1	10999	1297.0
ENSG00000105137.13	5999	605.5
ENSG00000109586.12	10999	5426.0
ENSG00000229334.1	7999	736.0
ENSG00000165028.12	56499	12530.5
ENSG00000008277.14	13499	2539.0
ENSG00000114742.14	10999	718.0
ENSG00000152495.11	15499	1338.0
ENSG00000269427.1	11999	675.0
ENSG00000198785.5	9999	931.0
ENSG00000283461.1	4999	203.5
ENSG00000180878.2	7999	320.0
ENSG00000277978.1	12999	1080.0
ENSG00000267579.1	6499	94.0
ENSG00000171161.13	9499	704.5
ENSG00000196408.11	6999	491.0
ENSG00000119408.16	52499	3995.5
ENSG00000233436.7	9499	3100.5
ENSG00000279119.1	7499	568.0
ENSG00000167676.4	4999	821.5
ENSG00000182685.7	3999	467.0
ENSG00000174171.6	11999	1628.0
ENSG00000149489.8	8999	587.5
ENSG00000262372.1	10499	202.5
ENSG00000170262.12	16999	786.5
ENSG00000123444.14	3999	703.0
ENSG00000149792.8	6499	229.0
